directory,total_segs,covered_segs,inner_missing,gap_count,gap_index,gap_section,gap_local_n_start,gap_local_n_end,gap_missing_count,gap_sample_heb
menachot_59b,52,52,34,4,1,Menachot 59a,2,14,13,"וְאֵלּוּ טְעוּנוֹת שֶׁמֶן וּלְבוֹנָה: מִנְחַת הַסּוֹלֶת, וְהַמַּחֲבַת, וְהַמַּרְחֶשֶׁת, וְהַחַלּוֹת,"
menachot_59b,52,52,34,4,2,Menachot 59a,16,28,13,"אַדְּרַבָּה, לֶחֶם הַפָּנִים הֲוָה לֵיהּ לְרַבּוֹיֵי, שֶׁכֵּן צִיבּוּרָא, חוֹבָה, טַמְיָא."
menachot_59b,52,52,34,4,3,Menachot 59b,1,4,4,"שְׁתֵּי הַלֶּחֶם הֲוָה לֵיהּ לְרַבּוֹיֵי, שֶׁכֵּן: צִיבּוּר, חוֹבָה, טַמְיָא, דַּאֲכַל,"
menachot_59b,52,52,34,4,4,Menachot 59b,7,8,2,"גְּמָ׳ תָּנוּ רַבָּנַן: ״לֹא יָשִׂים עָלֶיהָ שֶׁמֶן״, וְאִם שָׂם – פָּסַל."
sanhedrin_71b,45,45,30,2,1,Sanhedrin 71a,2,4,26,אֵינוֹ נַעֲשֶׂה בֵּן סוֹרֵר וּמוֹרֶה עַד שֶׁיֹּאכַל בָּשָׂר וְיִשְׁתֶּה יַיִן. תָּנוּ רַבָּנַן: אָכַ
sanhedrin_71b,45,45,30,2,2,Sanhedrin 71b,18,19,2,"בִּשְׁלָמָא אֵשֶׁת אִישׁ, מֵעִיקָּרָא חֶנֶק וְהַשְׁתָּא חֶנֶק. אֶלָּא רוֹצֵחַ, מֵעִיקָּרָא חֶנֶק וְה"
niddah_72b,37,37,27,2,1,Niddah 72a,2,5,4,"טָבְלָה בַּיּוֹם שֶׁלְּאַחֲרָיו, וְשִׁמְּשָׁה אֶת בֵּיתָהּ, וְאַחַר כָּךְ רָאֲתָה — בֵּית שַׁמַּאי א"
niddah_72b,37,37,27,2,2,Niddah 72a,8,12,23,"אָמְרוּ לָהֶן בֵּית הִלֵּל לְבֵית שַׁמַּאי: לֹא, אִם אָמַרְתָּ בְּתוֹךְ אַחַד עָשָׂר יוֹם, שֶׁכֵּן י"
yoma_87,31,30,27,2,1,Yoma 87a,2,5,4,״שְׂאֵת פְּנֵי רָשָׁע לֹא טוֹב״ — לֹא טוֹב לָהֶם לָרְשָׁעִים שֶׁנּוֹשְׂאִין לָהֶם פָּנִים בָּעוֹלָם 
yoma_87,31,30,27,2,2,Yoma 87a,7,12,23,"הָאוֹמֵר אֶחֱטָא וְאָשׁוּב אֶחֱטָא וְאָשׁוּב. לְמָה לִי לְמֵימַר ״אֶחֱטָא וְאָשׁוּב, אֶחֱטָא וְאָשׁו"
bava_kamma_114,66,51,26,6,1,Bava Kamma 114a,27,1,4,"בִּשְׁלָמָא לְעוּלָּא, דְּאָמַר בְּיָדוּעַ קָנֵי; הָכָא נָמֵי בְּיָדוּעַ, וְדִבְרֵי הַכֹּל הִיא. אֶל"
bava_kamma_114,66,51,26,6,2,Bava Kamma 114b,3,7,5,תָּא שְׁמַע: נָטְלוּ מוֹכְסִין חֲמוֹרוֹ וְכוּ׳.
bava_kamma_114,66,51,26,6,3,Bava Kamma 114b,10,12,3,"אִי אָמְרַתְּ בִּשְׁלָמָא גַּנָּב כְּגַזְלָן דְּרַבִּי שִׁמְעוֹן קָאָמַר, מִשּׁוּם הָכִי קָנֵי; אֶלּ"
bava_kamma_114,66,51,26,6,4,Bava Kamma 114b,14,16,3,וְכֵן נְחִיל שֶׁל דְּבוֹרִים. מַאי ״וְכֵן״?
bava_kamma_114,66,51,26,6,5,Bava Kamma 114b,19,20,2,אֲמַר לֵיהּ רָבִינָא לְרַב אָשֵׁי: וְלָא? וַהֲרֵי נְחִיל שֶׁל דְּבוֹרִים – מֵסִיחַ לְפִי תּוּמּוֹ הו
bava_kamma_114,66,51,26,6,6,Bava Kamma 114b,22,23,2,בִּתְרוּמָה דְּרַבָּנַן.
berakhot_5,51,39,26,3,1,Berakhot 5a,4,7,4,"אָמַר רַבִּי יִצְחָק: כׇּל הַקּוֹרֵא קְרִיאַת שְׁמַע עַל מִטָּתוֹ, כְּאִלּוּ אוֹחֵז חֶרֶב שֶׁל שְׁתּ"
berakhot_5,51,39,26,3,2,Berakhot 5a,14,9,20,פְּלִיגִי בַּהּ רַבִּי יַעֲקֹב בַּר אִידִי וְרַבִּי אַחָא בַּר חֲנִינָא. חַד אָמַר: אֵלּוּ הֵם יִסּו
berakhot_5,51,39,26,3,3,Berakhot 5b,12,13,2,"אַמַּאי, לוֹקִים רַבִּי יוֹחָנָן לְנַפְשֵׁיהּ?"
shabbat_142,40,40,24,3,1,Shabbat 142a,12,18,7,רַבִּי יְהוּדָה אוֹמֵר: אַף מַעֲלִין וְכוּ׳. וְאַמַּאי?! הָא קָא מְתַקֵּן!
shabbat_142,40,40,24,3,2,Shabbat 142b,4,12,9,"מָעוֹת שֶׁעַל הַכַּר — מְנַעֵר אֶת הַכַּר, וְהֵן נוֹפְלוֹת. הָיְתָה עָלָיו לִשְׁלֶשֶׁת — מְקַנְּחָהּ"
shabbat_142,40,40,24,3,3,Shabbat 142b,17,18,2,"אָמַר אַבָּיֵי: אִי לָאו דְּאָדָם חָשׁוּב אֲנָא, כַּפָּא אַכִּיפֵי לְמָה לִי? הָא חֲזוּ לְמִיזְגָּא "
menachot_68,44,43,23,3,1,Menachot 68a,17,18,2,"מִשֶּׁקָּרַב הָעוֹמֶר, הוּתַּר חָדָשׁ מִיָּד! לְמִצְוָה."
menachot_68,44,43,23,3,2,Menachot 68b,2,4,3,"וְלָא יָדְעִי, דְּאֶשְׁתָּקַד לָא הֲוָה עוֹמֶר, הֵאִיר מִזְרָח מַתִּיר, וְהַשְׁתָּא דְּאִיכָּא עוֹמֶ"
menachot_68,44,43,23,3,3,Menachot 68b,9,25,17,"וְרַבָּן יוֹחָנָן בֶּן זַכַּאי מִדְּרַבָּנַן קָאָמַר, וְכִי תַּקֵּין לְיוֹם הֶנֶף – לִסְפֵיקָא לָא ת"
shabbat_67,35,35,22,3,1,Shabbat 67a,3,9,7,"יוֹמָא קַמָּא, לִיחְרוֹק בֵּיהּ פּוּרְתָּא וְלֵימָא: ״וַיֵּרָא מַלְאַךְ ה׳ אֵלָיו וְגוֹ׳״. לִמְחַר, "
shabbat_67,35,35,22,3,2,Shabbat 67a,15,8,12,הָא אֵין בּוֹ מִשּׁוּם רְפוּאָה יֵשׁ בּוֹ מִשּׁוּם דַּרְכֵי הָאֱמוֹרִי? וְהָתַנְיָא: אִילָן שֶׁמַּשּ
shabbat_67,35,35,22,3,3,Shabbat 67b,15,16,2,״חַמְרָא וְחַיֵּי לְפוּם רַבָּנַן״ — אֵין בּוֹ מִשּׁוּם דַּרְכֵי הָאֱמוֹרִי. מַעֲשֶׂה בְּרַבִּי עֲקִ
zevachim_14,42,41,22,5,1,Zevachim 14a,3,5,3,"חַטָּאוֹת הַחִיצוֹנוֹת – פְּשִׁיטָא, לָא כְּתִיב בְּהוּ ״וְטָבַל״!"
zevachim_14,42,41,22,5,2,Zevachim 14a,10,13,4,"אִי מִחוּץ לִזְמַנּוֹ – מָה לְחוּץ לִזְמַנּוֹ, שֶׁכֵּן כָּרֵת!"
zevachim_14,42,41,22,5,3,Zevachim 14a,15,18,4,"וְאִם תִּמְצֵי לוֹמַר סָבַר לַהּ כְּרַבִּי יְהוּדָה, דְּאָמַר: תּוֹךְ עֲזָרָה מְקַדֵּשׁ; אֵין מַחְשָ"
zevachim_14,42,41,22,5,4,Zevachim 14b,9,12,4,אָמַר רַב שִׁישָׁא בְּרֵיהּ דְּרַב אִידִי: מִידֵּי דְּהָוֵה אַמַּרְאוֹת נְגָעִים; דְּלָאו עֲבוֹדָה ה
zevachim_14,42,41,22,5,5,Zevachim 14b,16,18,3,"דִּלְמָא יוֹשֵׁב – דְּקָשָׁיֵיף מֵישָׁף, עוֹמֵד דּוּמְיָא דְּיוֹשֵׁב – דְּנָיֵיד פּוּרְתָּא."
arakhin_14,45,44,21,7,1,Arakhin 14a,4,5,2,"וְאִיבָּעֵית אֵימָא, אַיְּידֵי דְּקָא בָּעֵי לְמִתְנֵי סֵיפָא ״שְׂדֵה אֲחוּזָּה״, דִּבְיִשְׂרָאֵל הו"
arakhin_14,45,44,21,7,2,Arakhin 14a,9,10,2,"אֵיתִיבֵיהּ: ״בֵּית זֶרַע״ — אֵין לִי אֶלָּא בֵּית זֶרַע, שְׂדֵה גְּפָנִים וּשְׂדֵה קָנִים וּשְׂדֵה "
arakhin_14,45,44,21,7,3,Arakhin 14a,16,17,2,"אִי רַבִּי שִׁמְעוֹן, אֵימָא סֵיפָא: וְלֹא עוֹד, אֶלָּא אֲפִילּוּ הִקְדִּישׁ אִילָנוֹתָיו וְאַחַר כּ"
arakhin_14,45,44,21,7,4,Arakhin 14b,5,10,6,"אִם כֵּן, לִכְתּוֹב רַחֲמָנָא: ״אִם אֶת שְׂדֵה מִקְנָתוֹ אֲשֶׁר לֹא אֲחֻזָּתוֹ״, מַאי ״מִשְּׂדֵה״ — "
arakhin_14,45,44,21,7,5,Arakhin 14b,13,14,2,שְׂדֵה מִקְנָה נוֹתֵן שׇׁוְויוֹ. תָּנוּ רַבָּנַן: ״בְּמִכְסַת״ — מַה בָּא לִלְמוֹד? לְפִי שֶׁנֶּאֱמַ
arakhin_14,45,44,21,7,6,Arakhin 14b,18,19,2,"תַּנְיָא כְּוָותֵיהּ דְּרָבָא, וְלָא מִטַּעְמֵיהּ. תַּנְיָא: ״בְּמִכְסַת הָעֶרְכְּךָ״ — הִקִּישׁוֹ ה"
arakhin_14,45,44,21,7,7,Arakhin 14b,22,23,2,"מַתְנִי׳ בָּאוֹנֵס וּבַמְפַתֶּה לְהָקֵל וּלְהַחֲמִיר, כֵּיצַד? אֶחָד שֶׁאָנַס וּפִיתָּה אֶת גְּדוֹלָ"
gittin_85,45,45,21,3,1,Gittin 85a,4,6,3,תָּנֵי אֲבוּהּ דְּרַבִּי אָבִין קַמֵּיהּ דְּרַבִּי זֵירָא: כָּתַב גֵּט עַל תְּנַאי – דִּבְרֵי הַכֹּל
gittin_85,45,45,21,3,2,Gittin 85a,19,20,2,"אֲמַר לֵיהּ, תְּנֵיתוּהָ: ״לְאַבָּא וּלְאָבִיךָ״. וּבְמַאי? אִילֵימָא בְּנִשּׂוּאִין, אַבָּא וְאָבִי"
gittin_85,45,45,21,3,3,Gittin 85b,2,17,16,"גְּמָ׳ פְּשִׁיטָא, אָמַר לָהּ לְאִשְׁתּוֹ: ״הֲרֵי אַתְּ בַּת חוֹרִין״ – לֹא אָמַר וְלֹא כְּלוּם; אָמ"
bava_kamma_71,42,40,20,2,1,Bava Kamma 71a,15,4,13,אָמְרִי: סָבַר לַהּ כְּרַבִּי יוֹחָנָן הַסַּנְדְּלָר.
bava_kamma_71,42,40,20,2,2,Bava Kamma 71b,11,13,3,"אָמַר רַב כָּהֲנָא, אַמְרִיתָא לִשְׁמַעְתָּא קַמֵּיהּ דְּרַב זְבִיד מִנְּהַרְדְּעָא: מִי מָצֵית מוֹק"
sanhedrin_105,37,35,20,6,1,Sanhedrin 105a,2,4,3,״מַדּוּעַ שׁוֹבְבָה הָעָם הַזֶּה יְרוּשָׁלִַים מְשֻׁבָה נִצַּחַת וְגוֹ׳״. אָמַר רַב: תְּשׁוּבָה נִצּ
sanhedrin_105,37,35,20,6,2,Sanhedrin 105a,11,12,2,"רַבִּי יְהוֹשֻׁעַ הִיא, דְּתַנְיָא: רַבִּי אֱלִיעֶזֶר אוֹמֵר, ״יָשׁוּבוּ רְשָׁעִים לִשְׁאוֹלָה כׇּל "
sanhedrin_105,37,35,20,6,3,Sanhedrin 105a,14,1,5,״וַיֵּשְׁבוּ שָׂרֵי מוֹאָב עִם בִּלְעָם״. וְשָׂרֵי מִדְיָן לְהֵיכָן אֲזוּל? כֵּיוָן דַּאֲמַר לְהוּ: 
sanhedrin_105,37,35,20,6,4,Sanhedrin 105b,5,8,4,אֶלָּא מַאי ״וְיֹדֵעַ דַּעַת עֶלְיוֹן״? שֶׁהָיָה יוֹדֵעַ לְכַוֵּון אוֹתָהּ שָׁעָה שֶׁהַקָּדוֹשׁ בָּר
sanhedrin_105,37,35,20,6,5,Sanhedrin 105b,10,11,2,"תָּנָא מִשְּׁמֵיהּ דְּרַבִּי מֵאִיר: בְּשָׁעָה שֶׁהַחַמָּה זוֹרַחַת, וְהַמְּלָכִים מַנִּיחִין כִּתְר"
sanhedrin_105,37,35,20,6,6,Sanhedrin 105b,13,14,2,אֲמַר לֵיהּ רָבָא לְרַבָּה בַּר מָרִי: כְּתִיב ״יֵיטֵב אֱלֹהִים אֶת שֵׁם שְׁלֹמֹה מִשְּׁמֶךָ וִיגַדּ
sanhedrin_29b,59,36,20,1,1,Sanhedrin 29a,20,2,20,"אֲמַר לֵיהּ רָבָא, יָכְלִי לְמֵימַר: שַׁב שְׁנֵי הֲוָה כַּפְנָא, וְאַבָּבָא אוּמָּנָא לָא חֲלֵיף."
arakhin_20,42,32,19,5,1,Arakhin 20a,12,13,2,"חוֹמֶר בָּעֲרָכִין מִבַּנְּדָרִים, כֵּיצַד? אָמַר: ״עֶרְכִּי עָלַי״ וָמֵת — יִתְּנוּ יוֹרְשִׁין, ״דּ"
arakhin_20,42,32,19,5,2,Arakhin 20a,17,18,2,"וְהָא ״לֹא אָמַר כְּלוּם״ קָתָנֵי! לֹא אָמַר כְּלוּם לְרַבָּנַן, וְנוֹתֵן דָּמֶיהָ לְרַבִּי מֵאִיר."
arakhin_20,42,32,19,5,3,Arakhin 20a,24,25,2,"״חֲצִי דָּמַי עָלַי״ — נוֹתֵן כּוּ׳. ״דְּמֵי חֶצְיִי עָלַי״ — נוֹתֵן דְּמֵי כּוּלּוֹ, מַאי טַעְמָא?"
arakhin_20,42,32,19,5,4,Arakhin 20a,31,3,5,"הָאוֹמֵר ״עֶרְכּוֹ שֶׁל פְּלוֹנִי עָלַי״, וּמֵת הַנּוֹדֵר כּוּ׳. מַאי נִיהוּ? שֶׁעָמַד בַּדִּין."
arakhin_20,42,32,19,5,5,Arakhin 20b,5,9,5,"מִי אַלִּימָא מִמַּתְנִיתִין, דְּאוֹקֵימְנָא דְּקָאָמַר ״דְּמֵי״? הָכָא נָמֵי דְּקָאָמַר ״דְּמֵי״."
avodah_zarah_6,34,29,19,2,1,Avodah Zarah 6a,7,6,16,"אַיְּידֵי דִּתְנָא ״שְׁלֹשָׁה לִפְנֵיהֶם״, תְּנָא נָמֵי ״שְׁלֹשָׁה לְאַחֲרֵיהֶם״."
avodah_zarah_6,34,29,19,2,2,Avodah Zarah 6b,10,12,3,"וּצְרִיכִי, דְּאִי תְּנָא לָשֵׂאת וְלָתֵת עִמָּהֶן, מִשּׁוּם דְּקָא מַרְוַוח לְהוּ וְאָזֵיל וּמוֹדֶה"
bava_kamma_30,48,45,19,3,1,Bava Kamma 30a,24,1,6,"וְהָתְנַן, רַבִּי יְהוּדָה אוֹמֵר: בְּנֵר חֲנוּכָּה – פָּטוּר, מִפְּנֵי שֶׁהוּא בִּרְשׁוּת. מַאי, לָ"
bava_kamma_30,48,45,19,3,2,Bava Kamma 30b,5,9,5,"תְּנָא לְרֵישָׁא, וְהוּא הַדִּין לְסֵיפָא."
bava_kamma_30,48,45,19,3,3,Bava Kamma 30b,11,15,5,"תָּא שְׁמַע, מִדְּקָאָיְירִינַן גָּלָל!"
nazir_29b,27,27,19,1,1,Nazir 29a,2,4,19,"בִּשְׁלָמָא לְרַבִּי יוֹחָנָן, דְּאָמַר: הֲלָכָה הִיא בְּנָזִיר, אַמְּטוּ לְהָכִי: בְּנוֹ — אִין, בּ"
pesachim_5,38,32,19,5,1,Pesachim 5a,2,5,4,"הַשְׁבָּתַת שְׂאוֹר לַאֲכִילַת חָמֵץ, דִּכְתִיב: ״שִׁבְעַת יָמִים שְׂאֹר לֹא יִמָּצֵא בְּבָתֵּיכֶם כ"
pesachim_5,38,32,19,5,2,Pesachim 5a,7,10,4,"אֶלָּא מֵעַתָּה, ״וּלְקַחְתֶּם לָכֶם בַּיּוֹם הָרִאשׁוֹן״, הָכִי נָמֵי רִאשׁוֹן דְּמֵעִיקָּרָא מַשְׁ"
pesachim_5,38,32,19,5,3,Pesachim 5a,12,16,5,"אִיצְטְרִיךְ: סָלְקָא דַּעְתָּךְ אָמֵינָא, הוֹאִיל דִּכְתַב רַחֲמָנָא: ״וּבַיּוֹם הַשְּׁמִינִי״, וָי"
pesachim_5,38,32,19,5,4,Pesachim 5a,18,20,3,תַּנְיָא נָמֵי הָכִי: ״אַךְ בַּיּוֹם הָרִאשׁוֹן תַּשְׁבִּיתוּ שְּׂאֹר מִבָּתֵּיכֶם״ — מֵעֶרֶב יוֹם ט
